user_id,fecha_entrada,first_source,first_medium,first_campaign,collected_source,collected_medium,collected_campaign,session_google_ads_campaign,session_manual_campaign_name,session_manual_source,session_manual_medium,publisher_ad_source,firebase_source,firebase_medium,firebase_campaign_name,underwriting_source,underwriting_medium,underwriting_campaign,fecha_underwriting,salesinfo_source,salesinfo_medium,fecha_sales_info,kyc_start_source,kyc_start_medium,fecha_kyc_start,kyc_done_source,kyc_done_medium,fecha_kyc_done,ref_source,ref_medium,fecha_referencias,credito_source,credito_medium,credito_campaign,fecha_credito,prestamo_source,prestamo_medium,prestamo_campaign,fecha_prestamo,account_type_credito,underwriting_type,loan_amount,dias_a_credito,dias_a_prestamo,credito_desde_canal_origen,prestamo_desde_canal_origen,credito_y_prestamo_mismo_canal,tiene_credito,tiene_prestamo,funnel,marketing_channel,marketing_subchannel
02279087-491a-4a8c-8531-cc37636dea34,20250422,(direct),(none),(direct),,,,,(not set),(not set),(not set),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,,,,Direct,Direct
02484f5f-21af-4045-8a92-34afcaf4bcf5,20250410,Branch,marketing,,,,,,,Branch,marketing,,,,,Branch,marketing,,20250410,Branch,marketing,20250410,,,,Branch,marketing,20250410,Branch,marketing,20250410,Branch,marketing,,20250410,Branch,marketing,,20250426,CONCORD_STANDARD_PROFILE,CONCORD,,0,16,TRUE,TRUE,TRUE,1,1,"underwriting_started,sales_information_completed,kyc_completed,references_completed,credit_line_granted,loan_disbursed",Whatsapp,WA_Groups
0ce7b43c-b9c0-40ee-b5d7-4739b05ce19b,20250425,google,cpc,APP | CDT GRANTED | FIREBASE,,,,APP | CDT GRANTED | FIREBASE,(not set),(not set),(not set),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,,,,CPC,GADS
0f1e3530-ef31-4d1c-97c2-4d1698091d43,20250504,apps.facebook.com,,fb4a,,,,,fb4a,apps.facebook.com,,,,,,apps.facebook.com,,fb4a,20250504,,,,,,,,,,,,,,,,,,,,,,CONCORD,,,,FALSE,FALSE,TRUE,0,0,underwriting_started,Paid Social,Facebook
0f2ce730-7972-4c0e-97c1-8e2a3cfb7f23,20250327,Branch,share,,,,,,,Branch,share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,,,,Whatsapp,WA_Prospecting
11aa469e-681c-4454-9ad0-5cb5f913ed89,20250409,apps.facebook.com,,fb4a,,,,,fb4a,apps.facebook.com,,,,,,apps.facebook.com,,fb4a,20250409,,,,,,,,,,,,,,,,,,,,,,OPEN_MARKET,,,,FALSE,FALSE,TRUE,0,0,underwriting_started,Paid Social,Facebook
13a62b75-bc0d-4785-b31e-b686f98dcaaf,20250407,whatsapp,whatsapp,preaprobados_concord_wa_1,,,,,preaprobados_concord_wa_1,whatsapp,whatsapp,,,,,,,,,whatsapp,whatsapp,20250408,,,,whatsapp,whatsapp,20250408,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,0,0,"sales_information_completed,kyc_completed",Whatsapp,WA_Prospecting
14848b7d-0f27-4a77-95f8-9fe939a6ff9f,20250419,(direct),(none),(direct),,,,,(not set),(not set),(not set),,,,,(direct),(none),(direct),20250419,,,,,,,,,,,,,,,,,,,,,,OPEN_MARKET,,,,FALSE,FALSE,TRUE,0,0,underwriting_started,Direct,Direct
15501e7c-7774-44a9-8915-e416cd32176a,20250503,apps.facebook.com,,fb4a,,,,,fb4a,apps.facebook.com,,,,,,apps.facebook.com,,fb4a,20250503,,,,,,,,,,,,,,,,,,,,,,OPEN_MARKET,,,,FALSE,FALSE,TRUE,0,0,underwriting_started,Paid Social,Facebook
17bcb24f-b1bd-4044-9f7c-7e3716b76a8a,20250430,(direct),(none),(direct),,,,,(not set),(not set),(not set),,,,,(direct),(none),(direct),20250430,,,,,,,,,,,,,,,,,,,,,,OPEN_MARKET,,,,FALSE,FALSE,TRUE,0,0,underwriting_started,Direct,Direct
