LoanID,Ally ID,RecipientID,RecipientType,LoanAmount,IssueDate,LoanType,DisbursementMeans,Status
113,433433333314,433433333314,Ally,4000,16/04/2024 21:35:21,XIMPLE FIJO,Pre-Cash,CANCELADO
114,433433333314,179,Client,4000,30/04/2024 21:37:26,XIMPLE FIJO,Pre-Cash,ACTIVO
139,433433333387,433433333387,Ally,4000,30/04/2024 15:33:47,XIMPLE FIJO,Pre-Cash,CANCELADO
141,433433333362,174,Client,2000,31/03/2024 15:37:33,XIMPLE FIJO,Pre-Cash,CANCELADO
148,433433333373,175,Client,4000,17/03/2024 15:52:39,XIMPLE FIJO,Pre-Cash,CANCELADO
149,433433333373,176,Client,2000,17/03/2024 15:48:54,XIMPLE FIJO,Pre-Cash,CANCELADO
160,433433333374,189,Client,4000,18/03/2024 21:08:36,XIMPLE FIJO,Pre-Cash,CANCELADO
161,433433333374,188,Client,4000,18/03/2024 21:07:19,XIMPLE FIJO,Pre-Cash,CANCELADO
163,433433333374,433433333374,Ally,2000,19/03/2024 21:41:26,XIMPLE FIJO,Pre-Cash,CANCELADO
164,433433333374,433433333374,Ally,4000,10/05/2024 21:43:17,XIMPLE FIJO,Pre-Cash,CANCELADO
167,433433333362,190,Client,4000,06/05/2024 21:51:46,XIMPLE FIJO,Pre-Cash,CANCELADO
168,433433333362,173,Client,4000,19/04/2024 21:50:33,XIMPLE FIJO,Pre-Cash,CANCELADO
200,433433333373,176,Client,4000,30/04/2024 23:18:57,XIMPLE FIJO,Pre-Cash,CANCELADO
201,433433333373,178,Client,4000,30/04/2024 23:22:20,XIMPLE FIJO,Pre-Cash,CANCELADO
207,433433333375,203,Client,2000,17/03/2024 01:51:17,XIMPLE FIJO,Pre-Cash,CANCELADO
211,433433333375,204,Client,4000,17/03/2024 02:10:50,XIMPLE FIJO,Pre-Cash,CANCELADO
214,433433333387,177,Client,4000,30/04/2024 16:37:09,XIMPLE FIJO,Pre-Cash,CANCELADO
218,433433333362,190,Client,2000,14/03/2024 02:36:58,XIMPLE FIJO,Pre-Cash,CANCELADO
232,433433333300,433433333300,Ally,4000,19/05/2024 13:11:27,XIMPLE FIJO,Pre-Cash,ACTIVO
235,433433333374,189,Client,4000,10/05/2024 21:45:00,XIMPLE FIJO,Pre-Cash,CANCELADO
255,433433333375,433433333375,Ally,4000,17/03/2024 02:18:27,XIMPLE FIJO,Pre-Cash,CANCELADO
269,433433333362,433433333362,Ally,4000,31/03/2024 23:17:10,XIMPLE FIJO,Pre-Cash,CANCELADO
282,433433333314,222,Client,4000,19/05/2024 19:45:15,XIMPLE FIJO,Pre-Cash,ACTIVO
293,433433333329,433433333329,Ally,4000,19/05/2024 22:48:41,XIMPLE FIJO,Pre-Cash,CANCELADO
325,433433333362,239,Client,2000,16/04/2024 18:32:33,XIMPLE FIJO,Pre-Cash,CANCELADO
330,433433333373,433433333373,Ally,2000,30/04/2024 21:13:24,XIMPLE FIJO,Pre-Cash,CANCELADO
333,433433333360,433433333360,Ally,4000,15/04/2024 10:44:10,XIMPLE FIJO,Pre-Cash,CANCELADO
337,433433333326,433433333326,Ally,2000,19/05/2024 11:14:52,XIMPLE FIJO,Pre-Cash,CANCELADO
347,433433333314,260,Client,4000,29/05/2024 12:54:03,XIMPLE FIJO,Pre-Cash,ACTIVO
349,433433333449,433433333449,Ally,2000,29/05/2024 12:55:17,XIMPLE FIJO,Pre-Cash,ACTIVO
355,433433333430,433433333430,Ally,2000,24/05/2024 12:43:37,XIMPLE FIJO,Pre-Cash,CANCELADO
367,433433333314,264,Client,4000,08/04/2024 15:36:36,XIMPLE FIJO,Pre-Cash,CANCELADO
375,433433333374,433433333374,Ally,2000,19/03/2024 13:19:29,XIMPLE FIJO,Pre-Cash,CANCELADO
